IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus,Rasio_Absensi,IPK_x_Study
3.8,3,10,1,0.21428571428571427,38.0
2.5,8,5,0,0.5714285714285714,12.5
3.4,4,7,1,0.2857142857142857,23.8
2.1,12,2,0,0.8571428571428571,4.2
3.9,2,12,1,0.14285714285714285,46.8
2.8,6,4,0,0.42857142857142855,11.2
3.2,5,8,1,0.35714285714285715,25.6
2.7,7,3,0,0.5,8.100000000000001
3.6,4,9,1,0.2857142857142857,32.4
2.3,9,4,0,0.6428571428571429,9.2
3.7,1,11,1,0.07142857142857142,40.7
2.2,10,3,0,0.7142857142857143,6.6000000000000005
3.1,5,6,1,0.35714285714285715,18.6
2.9,5,5,0,0.35714285714285715,14.5
3.5,3,8,1,0.21428571428571427,28.0
2.4,11,2,0,0.7857142857142857,4.8
3.3,2,9,1,0.14285714285714285,29.7
2.6,8,4,0,0.5714285714285714,10.4
4.0,0,14,1,0.0,56.0
2.0,13,1,0,0.9285714285714286,2.0
3.0,5,7,1,0.35714285714285715,21.0
2.8,7,6,0,0.5,16.799999999999997
3.6,3,10,1,0.21428571428571427,36.0
2.9,8,5,0,0.5714285714285714,14.5
3.4,4,8,1,0.2857142857142857,27.2
2.7,9,3,0,0.6428571428571429,8.100000000000001
3.9,1,12,1,0.07142857142857142,46.8
2.1,11,2,0,0.7857142857142857,4.2
3.1,6,7,1,0.42857142857142855,21.7
2.5,7,4,0,0.5,10.0
3.5,2,10,1,0.14285714285714285,35.0
2.2,9,3,0,0.6428571428571429,6.6000000000000005
3.7,3,11,1,0.21428571428571427,40.7
2.8,8,5,0,0.5714285714285714,14.0
2.4,10,2,0,0.7142857142857143,4.8
3.8,1,13,1,0.07142857142857142,49.4
2.6,9,4,0,0.6428571428571429,10.4
3.3,4,9,1,0.2857142857142857,29.7
2.9,7,5,1,0.5,14.5
